Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",5.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,6.0
Albania,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,3.0,1.0,2.0,1.0,-1.0,-1.0,1.0,-1.0
Algeria,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,3.0,1.0
American Samoa,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Angola,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,-1.0
Anguilla,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Antigua and Barbuda,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Argentina,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0
"Armenia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
Australia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,8.0,3.0,3.0,3.0,3.0,3.0,7.0,5.0
Austria,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,-1.0,1.0,2.0,-1.0,2.0,-1.0,1.0,1.0
"Azerbaijan, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Azores Island,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Bahamas, The","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
Bangladesh,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,7.0,3.0,5.0,4.0,6.0,2.0,2.0,2.0
Barbados,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
"Belarus, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
Belgium,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,1.0,2.0,-1.0,2.0,3.0,2.0,3.0,1.0
Belize,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
Benin,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
Bermuda,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bhutan,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
Bolivia,"Climate related disasters frequency, Number of Disasters: TOTAL",5.0,4.0,1.0,3.0,-1.0,1.0,4.0,3.0,7.0,1.0
Bosnia and Herzegovina,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,4.0,1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,1.0
Botswana,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
Brazil,"Climate related disasters frequency, Number of Disasters: TOTAL",6.0,5.0,6.0,2.0,1.0,3.0,8.0,7.0,9.0,12.0
British Virgin Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Brunei Darussalam,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bulgaria,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,5.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,1.0
Burkina Faso,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
Burundi,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,1.0,2.0,-1.0,1.0,3.0,3.0,3.0,1.0,-1.0
Cabo Verde,"Climate related disasters frequency, Number of Disasters: TOTAL",-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
Cambodia,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,2.0,1.0,-1.0,1.0,1.0,2.0,4.0,2.0
Cameroon,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,4.0
Canada,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0
