Country,Indicator,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",5.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,6.0
Albania,"Climate related disasters frequency, Number of Disasters: TOTAL",1.6,1.6,3.0,1.0,2.0,1.0,1.6,1.6,1.0,1.6
Algeria,"Climate related disasters frequency, Number of Disasters: TOTAL",1.5,1.5,2.0,1.5,1.0,1.0,1.0,1.5,3.0,1.0
Angola,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,2.375,3.0,4.0,2.0,1.0,3.0,3.0,2.0,2.375
Argentina,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0
"Armenia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.2,1.2,1.0,1.2,1.0,1.0,1.0,1.2,1.2
Australia,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,8.0,3.0,3.0,3.0,3.0,3.0,7.0,5.0
Austria,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.3333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,2.0,1.3333333333333333,1.0,1.0
"Bahamas, The","Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bangladesh,"Climate related disasters frequency, Number of Disasters: TOTAL",3.0,4.0,7.0,3.0,5.0,4.0,6.0,2.0,2.0,2.0
Belgium,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,1.0,1.0,2.0,1.8888888888888888,2.0,3.0,2.0,3.0,1.0
Bolivia,"Climate related disasters frequency, Number of Disasters: TOTAL",5.0,4.0,1.0,3.0,3.2222222222222223,1.0,4.0,3.0,7.0,1.0
Bosnia and Herzegovina,"Climate related disasters frequency, Number of Disasters: TOTAL",1.6666666666666667,4.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.0,1.0,1.0
Botswana,"Climate related disasters frequency, Number of Disasters: TOTAL",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brazil,"Climate related disasters frequency, Number of Disasters: TOTAL",6.0,5.0,6.0,2.0,1.0,3.0,8.0,7.0,9.0,12.0
Bulgaria,"Climate related disasters frequency, Number of Disasters: TOTAL",2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
